
Symbol table '.dynsym' contains 2746 entries:
   Num:    Value  Size Type    Bind   Vis      Ndx Name
    81: 000249c0    48 FUNC    GLOBAL DEFAULT    8 uuid_create_nil
    82: 000519d0    81 FUNC    GLOBAL DEFAULT    8 unsetenv
    83: 000ca5a4     4 OBJECT  GLOBAL DEFAULT   10 h_nerr
    84: 0004fea0     0 FUNC    WEAK   DEFAULT    8 _ksem_getvalue
    85: 0004ffe0     0 FUNC    WEAK   DEFAULT    8 getfsstat
    86: 00035a60    40 FUNC    GLOBAL DEFAULT    8 acl_copy_int
    87: 000720b0   563 FUNC    GLOBAL DEFAULT    8 authunix_create
    88: 000509e0     0 FUNC    WEAK   DEFAULT    8 netbsd_lchown
    89: 000503a0     0 FUNC    WEAK   DEFAULT    8 _extattrctl
    90: 0004ffc0     0 FUNC    WEAK   DEFAULT    8 _statfs
    91: 0004168c     0 FUNC    GLOBAL DEFAULT    8 fabs
    92: 000c4a70    35 FUNC    GLOBAL DEFAULT    8 mpool_filter
    93: 000d8c50     8 OBJECT  GLOBAL DEFAULT   18 __gdtoa_locks
    94: 00088540    42 FUNC    GLOBAL DEFAULT    8 xdr_longlong_t
    95: 000d6e8c     4 OBJECT  GLOBAL DEFAULT   11 __stdoutp
    96: 00088a10    42 FUNC    GLOBAL DEFAULT    8 warnx
    97: 00051220     0 FUNC    WEAK   DEFAULT    8 _symlink
    98: 000242a8     0 FUNC    GLOBAL DEFAULT    8 bcmp
    99: 000a8a80    28 FUNC    GLOBAL DEFAULT    8 _UTF8_mbsinit
   100: 00041560     0 FUNC    GLOBAL DEFAULT    8 setjmp
   101: 000c7d00    41 FUNC    WEAK   DEFAULT    8 _pthread_mutex_lock
   102: 0009d810    69 FUNC    GLOBAL DEFAULT    8 _nsyy_load_buffe[...]
   103: 000b34a0   458 FUNC    GLOBAL DEFAULT    8 __put_page
   104: 000d0460   338 OBJECT  GLOBAL DEFAULT   10 _nsyytable
   105: 00089550   159 FUNC    GLOBAL DEFAULT    8 setnetconfig
   106: 00081700    51 FUNC    GLOBAL DEFAULT    8 __rpc_seman2socktype
   107: 00080550    50 FUNC    GLOBAL DEFAULT    8 xdr_des_mode
   108: 00041f70    57 FUNC    WEAK   DEFAULT    8 waitpid
   109: 000415a4     0 FUNC    GLOBAL DEFAULT    8 __longjmp
   110: 000c7870    10 FUNC    WEAK   DEFAULT    8 _atomic_lock
   111: 0009e330    93 FUNC    GLOBAL DEFAULT    8 _setnethtent
   112: 00050900     0 FUNC    GLOBAL DEFAULT    8 __sys_fhstat
   113: 000b1f70   180 FUNC    GLOBAL DEFAULT    8 __sflags
   114: 00027f50   330 FUNC    GLOBAL DEFAULT    8 tmpfile
   115: 0007f610   363 FUNC    GLOBAL DEFAULT    8 xdrrec_create
   116: 000503e0     0 FUNC    GLOBAL DEFAULT    8 __sys___acl_dele[...]
   117: 0003b620   218 FUNC    GLOBAL DEFAULT    8 inet6_option_alloc
   118: 000ebec4     4 OBJECT  GLOBAL DEFAULT   18 _nsyyssp
   119: 000504e0     0 FUNC    WEAK   DEFAULT    8 _sigsuspend
   120: 0004fe80     0 FUNC    WEAK   DEFAULT    8 ksem_destroy
   121: 0006dd70   283 FUNC    GLOBAL DEFAULT    8 xprt_register
   122: 000854ec     0 FUNC    WEAK   DEFAULT    8 getrlimit
   123: 000c6290   157 FUNC    GLOBAL DEFAULT    8 __divdi3
